"3757309275","3757309275","PUB","CN","China","Anhui","Bengbu","ChinaNet Anhui Province Network","chinatelecom.com.cn","ISP/MOB",,
"3276134671","3276134671","PUB","RU","Russian Federation","Chelyabinskaya oblast'","Chelyabinsk","Limited Liability Company INZHENERNYE SETI - TELEKOM","is-telecom.ru","ISP",,
"1743058485","1743058485","PUB","ID","Indonesia","Lampung","Bandarlampung","PT Giga Patra Multimedia","gpm.net.id","ISP",,
"2831484259","2831484259","PUB","BR","Brazil","Mato Grosso","Sinop","Lucas Network Informatica Ltda ME","lucasinternet.com.br","ISP",,
"602341886","602341886","PUB","US","United States","California","Mountain View","Google LLC","google.com","DCH",,
"2548925423","2548925423","PUB","ES","Spain","Valenciana, Comunidad","Alicante","Sat TV Plus Slu","sattvplus.com","ISP",
"1943639806","1943639806","PUB","CN","China","Zhejiang","Ningbo","ChinaNet Zhejiang Province Network","chinatelecom.com.cn","ISP/MOB",,
"3201217066","3201217066","PUB","VE","Venezuela, Bolivarian Republic of","Tachira","San Cristobal","CANTV Servicios Venezuela","cantv.net","ISP",
"1572291960","1572291960","PUB","RU","Russian Federation","Nizhegorodskaya oblast'","Nizhniy Novgorod","OOO Trivon Networks","vconnect.ru","ISP",,
"2748117234","2748117234","PUB","CN","China","Guangdong","Shanwei","China Unicom Guangdong Province Network","chinaunicom.com","ISP/MOB",,
"3169212221","3169212221","PUB","UA","Ukraine","Kyiv","Kiev","Kyivski Telekomunikatsiyni Merezhi LLC","volia.com","ISP",,
"795451940","795451940","PUB","CN","China","Zhejiang","Hangzhou","Aliyun Computing Co. Ltd","aliyun.com","DCH",,
"3168313408","3168313408","PUB","IT","Italy","Emilia-Romagna","Bologna","Vodafone Italia S.p.A.","vodafone.it","ISP/MOB",,
"3178897508","3178897508","PUB","BR","Brazil","Rio de Janeiro","Rio de Janeiro","Claro S.A.","claro.com.br","MOB",,
"1841868574","1841868574","PUB","YE","Yemen","Hadramawt","Sana'","YemenNet","yemen.net.ye","ISP",,
"1425508860","1425508860","PUB","NO","Norway","Sogn og Fjordane","Aurlandsvangen","Breiband.no AS","directconnect.no","ISP",,
"2088296882","2088296882","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","True Internet Co. Ltd.","asianet.co.th","ISP/MOB",,
"3076156531","3076156531","PUB","SG","Singapore","Singapore","Singapore","StarHub Internet Pte Ltd","starhub.com","ISP",,
"3163116554","3163116554","PUB","PL","Poland","Slaskie","Rybnik","Leon Sp. z o.o.","leon.pl","ISP",,
"3192492297","3192492297","PUB","VE","Venezuela, Bolivarian Republic of","Bolivar","Santa Elena de Uairen","CANTV Servicios Venezuela","cantv.net","ISP",
"2098936502","2098936502","PUB","TH","Thailand","Krabi","Saladan","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"1581941603","1581941603","PUB","IR","Iran, Islamic Republic of","Fars","Shiraz","Farahoosh Dena PLC","farahoosh.ir","ISP",
"3036559514","3036559514","PUB","ID","Indonesia","Yogyakarta","Yogyakarta","PT Telkom Indonesia","telkom.co.id","ISP/MOB",,
"3400941241","3400941241","PUB","ID","Indonesia","Jakarta Raya","Jakarta","PT. Arsen Kusuma Indonesia","arsen.co.id","ISP",,
"1960085298","1960085298","PUB","KH","Cambodia","Siem Reab","Siemreab","Mekongnet PP","mekongnet.com.kh","ISP",,
"2989428168","2989428168","PUB","RU","Russian Federation","Khanty-Mansiyskiy avtonomnyy okrug","Kogalym","OJSC Rostelecom","rostelecom.ru","ISP",,
"636164342","636164342","PUB","IR","Iran, Islamic Republic of","Alborz","Karaj","Shabakeh Gostar Shahriyar Co. (Ltd.)","brooklaw.edu","EDU",
"608442465","608442466","PUB","ID","Indonesia","Jambi","Kualatungkal","PT Telkom Indonesia","telkom.co.id","ISP/MOB",,
"1850600249","1850600249","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","CAT Telecom Public Company Ltd","cattelecom.com","ISP/MOB",,
"3136029572","3136029572","PUB","BR","Brazil","Santa Catarina","Chapeco","Provedor Futura SC Ltda","promitos.com.br","ISP",,
"3158597542","3158597542","PUB","RU","Russian Federation","Sverdlovskaya oblast'","Yekaterinburg","LLC Cifrovie Seti Urala","convex.ru","ISP",,
"1850587120","1850587120","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","CAT Telecom Public Company Ltd","cattelecom.com","ISP/MOB",,
"1991174272","1991174272","PUB","TH","Thailand","Mae Hong Son","Pa Pae","TOT Public Company Limited","tot.co.th","ISP/MOB",,
"3287640430","3287640430","PUB","PL","Poland","Podlaskie","Suwalki","E-Mouse Karol Urbanowicz","emouse.pl","COM",,
"1441682936","1441682936","PUB","HU","Hungary","Pest","Toeroekbalint","DIGI Tavkozlesi es Szolgaltato Kft.","digikabel.hu","ISP",,
"1205740294","1205740294","PUB","US","United States","Nevada","Las Vegas","CenturyLink Communications LLC","centurylink.com","ISP",,
"3220774167","3220774167","PUB","BR","Brazil","Minas Gerais","Sete Lagoas","Vivo S.A.","vivo.com.br","ISP/MOB",,
"2649150686","2649150686","PUB","US","United States","New Jersey","North Bergen","DigitalOcean LLC","digitalocean.com","DCH",,
"2992445304","2992445304","PUB","UA","Ukraine","Odeska oblast","Tatarbunary","PJSC Ukrtelecom","utel.ua","ISP/MOB",,
"1850604434","1850604434","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","CAT Telecom Public Company Ltd","cattelecom.com","ISP/MOB",,
"3076077063","3076077063","PUB","TH","Thailand","Phuket","Phuket","Triple T Internet PCL","triplet.co.th","ISP",,
"1550847209","1550847209","PUB","UA","Ukraine","Sumska oblast","Shostka","PJSC Ukrtelecom","utel.ua","ISP/MOB",,
"3063967190","3063967190","PUB","BD","Bangladesh","Dhaka","Dhaka","Assigned for Gulshan-2 POP Customers","aamranetworks.com","ISP",,
"3311566724","3311566724","PUB","ZA","South Africa","Gauteng","Johannesburg","Internet Solutions","is.co.za","DCH",,
"2994753706","2994753706","PUB","SG","Singapore","Singapore","Singapore","DigitalOcean LLC","digitalocean.com","DCH",,
"755377994","755377994","PUB","BR","Brazil","Paraiba","Alagoa Grande","PJM Telecom","pjmtelecom.net.br","ISP",,
"3377230881","3377230881","PUB","BR","Brazil","Rio Grande do Sul","Sao Sebastiao do Cai","HTEC - Telecomunicacoes Eireli","gtctelecom.com.br","ISP",,
"2003137199","2003137200","PUB","CN","China","Hubei","Qianjiang","ChinaNet Hubei Province Network","chinatelecom.com.cn","ISP/MOB",,
"3470784604","3470784604","PUB","US","United States","Georgia","Atlanta","Micfo LLC.","micfo.com","DCH",,
"2102290994","2102290994","PUB","CN","China","Fujian","Quanzhou","ChinaNet Fujian Province Network","chinatelecom.com.cn","ISP/MOB",,
"94405393","94405393","PUB","IR","Iran, Islamic Republic of","Khuzestan","Bandar Emam Khomeyni","Respina Networks & Beyond PJSC","respina.net","ISP",
"1850591458","1850591458","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","CAT Telecom Public Company Ltd","cattelecom.com","ISP/MOB",,
"609856186","609856186","PUB","ID","Indonesia","Jakarta Raya","Jakarta","PT Telekomunikasi Indonesia","telkom.co.id","ISP/MOB",,
"991958534","991958534","PUB","CN","China","Guangdong","Heyuan","ChinaNet Guangdong Province Network","chinatelecom.com.cn","ISP/MOB",,
"2835396071","2835396071","PUB","ZA","South Africa","Western Cape","Cape Town","Afrihost (Pty) Ltd","dedicated.co.za","DCH",,
"1394448196","1394448196","PUB","PL","Poland","Malopolskie","Pogorzyce","Orange Polska Spolka Akcyjna","orange.pl","ISP/MOB",,
"760077607","760077607","PUB","US","United States","New Jersey","Matawan","Vultr Holdings LLC","vultr.com","DCH",,
"1458768151","1458768151","PUB","FR","France","Grand-Est","Strasbourg","Orange S.A.","orange.com","ISP/MOB",,
"1873915604","1873915604","PUB","CN","China","Hubei","Suizhou","ChinaNet Hubei Province Network","chinatelecom.com.cn","ISP/MOB",,
"622586711","622586711","PUB","IR","Iran, Islamic Republic of","Khuzestan","Abadan","Pars Online PJS","parsonline.net","ISP",
"1850603211","1850603212","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","CAT Telecom Public Company Ltd","cattelecom.com","ISP/MOB",,
"2857378075","2857378075","PUB","BR","Brazil","Mato Grosso do Sul","Camapua","Giga Net Telecomunicacoes Eireli - ME","claro.com.br","ISP",,
"3200889805","3200889805","PUB","VE","Venezuela, Bolivarian Republic of","Sucre","Cumana","CANTV Servicios Venezuela","cantv.net","ISP",
"2927443505","2927443505","PUB","US","United States","Missouri","Moundville","CenturyLink Communications LLC","centurylink.com","ISP",,
"248479927","248479927","PUB","TH","Thailand","Chachoengsao","Chachoengsao","Triple T Internet PCL","triplet.co.th","ISP",,
"1886196618","1886196618","PUB","ID","Indonesia","Jakarta Raya","Jakarta","PT Data Utama Dinamika","datautama.net.id","ISP",,
"1397894801","1397894801","PUB","NL","Netherlands","Noord-Brabant","Oosterhout","Ziggo B.V.","ziggo.nl","ISP/MOB",,
"3393075384","3393075384","PUB","KH","Cambodia","Phnom Penh","Phnom Penh","PPPOE SE","azcom.net.kh","DCH",,
"1194755676","1194755676","PUB","US","United States","North Carolina","Greensboro","CenturyLink Communications LLC","centurylink.com","ISP",,
"1873913924","1873913924","PUB","CN","China","Hubei","Suizhou","ChinaNet Hubei Province Network","chinatelecom.com.cn","ISP/MOB",,
"3060005849","3060005849","PUB","CN","China","Jiangxi","Pingxiang","ChinaNet Jiangxi Province Network","chinatelecom.com.cn","ISP/MOB",,
"2869316598","2869316598","PUB","TH","Thailand","Chon Buri","Phatthaya","Triple T Internet PCL","triplet.co.th","ISP",,
"1850601636","1850601636","PUB","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","CAT Telecom Public Company Ltd","cattelecom.com","ISP/MOB",,
"1275334796","1275334796","PUB","US","United States","North Carolina","Lumberton","CenturyLink Communications LLC","centurylink.com","ISP",,
"1915465770","1915465770","PUB","TW","Taiwan, Province of China","Taipei","Taipei","Chunghwa Telecom Co. Ltd.","cht.com.tw","ISP/MOB",
"3180690875","3180690875","PUB","MX","Mexico","Quintana Roo","Chetumal","Gestion de Direccionamiento Uninet","telmex.com","ISP/MOB",,
"3033767540","3033767540","PUB","BD","Bangladesh","Dhaka","Mymensingh","BTCL Info-bahan-Porject","btcl.gov.bd","GOV",,
